Date,CPI Report
2000-01-14,168.8
2000-02-18,169.8
2000-03-17,171.2
2000-04-14,171.3
2000-05-16,171.5
2000-06-14,172.4
2000-07-18,172.8
2000-08-16,172.8
2000-09-15,173.7
2000-10-18,174.0
2000-11-16,174.1
2000-12-15,174.0
2001-01-17,168.8
2001-02-21,169.8
2001-03-21,171.2
2001-04-17,171.3
2001-05-16,171.5
2001-06-15,172.4
2001-07-18,172.8
2001-08-16,172.8
2001-09-18,173.7
2001-10-19,174.0
2001-11-16,174.1
2001-12-14,174.0
2002-01-16,177.1
2002-02-20,177.8
2002-03-21,178.8
2002-04-16,179.8
2002-05-15,179.8
2002-06-18,179.9
2002-07-19,180.1
2002-08-16,180.7
2002-09-18,181.0
2002-10-18,181.3
2002-11-19,181.3
2002-12-17,180.9
2003-01-16,181.7
2003-02-21,183.1
2003-03-21,184.2
2003-04-16,183.8
2003-05-16,183.5
2003-06-17,183.7
2003-07-16,183.9
2003-08-15,184.6
2003-09-16,185.2
2003-10-16,185.0
2003-11-18,184.5
2003-12-16,184.3
2004-01-15,185.2
2004-02-20,186.2
2004-03-17,187.4
2004-04-14,188.0
2004-05-14,189.1
2004-06-15,189.7
2004-07-16,189.4
2004-08-17,189.5
2004-09-16,189.9
2004-10-19,190.9
2004-11-17,191.0
2004-12-17,190.3
2005-01-19,190.7
2005-02-18,191.8
2005-03-23,193.3
2005-04-20,194.6
2005-05-18,194.4
2005-06-15,194.5
2005-07-14,195.4
2005-08-16,196.4
2005-09-15,198.8
2005-10-14,199.2
2005-11-16,197.6
2005-12-15,196.8
2006-01-18,198.3
2006-02-17,198.7
2006-03-16,199.8
2006-04-19,201.5
2006-05-17,202.5
2006-06-14,202.9
2006-07-19,203.5
2006-08-16,203.9
2006-09-15,202.9
2006-10-18,201.8
2006-11-16,201.5
2006-12-15,201.8
2007-01-18,202.416
2007-02-16,203.499
2007-03-16,205.352
2007-04-17,206.686
2007-05-15,207.949
2007-06-15,208.352
2007-07-18,208.299
2007-08-15,207.917
2007-09-19,208.490
2007-10-17,208.936
2007-11-15,210.177
2007-12-14,210.036
2008-01-16,211.080
2008-02-15,211.693
2008-03-14,213.528
2008-04-16,214.823
2008-05-14,216.632
2008-06-13,218.815
2008-07-16,219.964
2008-08-14,219.086
2008-09-16,218.783
2008-10-16,216.573
2008-11-19,212.425
2008-12-16,210.228
2009-01-16,211.143
2009-02-18,212.193
2009-03-18,212.709
2009-04-15,213.240
2009-05-15,213.856
2009-06-17,215.693
2009-07-15,215.351
2009-08-14,215.834
2009-09-16,215.969
2009-10-15,216.177
2009-11-18,216.330
2009-12-16,215.949
2010-01-15,216.687
2010-02-17,216.741
2010-03-18,217.631
2010-04-14,218.009
2010-05-19,218.178
2010-06-17,217.965
2010-07-16,218.011
2010-08-13,218.312
2010-09-17,218.439
2010-10-15,218.711
2010-11-17,218.803
2010-12-15,219.179
2011-01-14,220.223
2011-02-15,221.309
2011-03-17,223.467
2011-04-15,224.906
2011-05-13,225.964
2011-06-15,225.722
2011-07-15,225.922
2011-08-18,226.545
2011-09-15,226.889
2011-10-19,226.421
2011-11-16,226.230
2011-12-16,225.672
2012-01-19,226.665
2012-02-15,227.663
2012-03-16,229.392
2012-04-13,230.085
2012-05-15,229.815
2012-06-14,229.478
2012-07-17,229.104
2012-08-15,230.379
2012-09-14,231.407
2012-10-16,231.317
2012-11-15,230.221
2012-12-14,229.601
2013-01-16,230.280
2013-02-19,232.166
2013-03-15,232.773
2013-04-16,232.531
2013-05-16,232.945
2013-06-18,233.504
2013-07-16,233.596
